"id","sentence"
83,""" I would like to tell American consumers that the Loire has an extraordinary richness in different ground make-up and grape varieties , of their flavors and scents , "" he said ."
84,"Later John Cage , the composer of the score and the choreographer 's closest artistic colleague , explained to what she had never known during rehearsals -- that in "" Second Hand "" Mr. Cunningham was Socrates approaching his death ."
85,"Evan Lysacek upset men 's figure skating champion Evgeni Plushenko of Russia ."
86,"It is unclear whether the New York Fed acted out of concern for the or for its own political position ."
87,"Although most patients are not aware of programs , doctors and hospitals are ."
88,"Hats Many of the spring and summer 2009 shows feature ."
89,"They played and chatted with the children ; Southworth was with one little girl when Ala 'a dragged his body to the soldier 's side ."
90,""" But we take it on the chin and make the best of it tomorrow , "" he added ."
91,"He accused the Opposition of seeming "" indifferent "" to the ."
92,"The kidnapping charge carries a maximum sentence of five years in prison while the assault and battery charge carries a maximum sentence ."
93,"He died in July at the age of ."
94,"Mr Cameron said that the key to boosting educational performance was improving the standards of teaching , and said that heads would be given freedom to pay more to the teachers ."
95,"( AP ) - A 23-year-old man was charged with murder Friday after a of fatal shootings that led police to warn people who knew him to flee the area ."
96,"But the IAEA report also noted that Iran 's production enriched uranium has continued at a steady pace and has , in fact , significantly exceeded Iran 's previous projections ."
97,"He will say the results of tests taken at school would be more accurate and useful and could also reduce duplication as many secondary schools already test new pupils ."
98,"I am one of the million people who own campaign ."
99,"FAA and National Transportation Safety Board investigators will be on the scene on Saturday , Gregor ."
100,"New laws in Seattle and California 's Santa and San Francisco are scheduled to go into effect later this year , including some more stringent than New York 's , requiring restaurants to post information about sodium , carbs , fats and cholesterol in addition to calories ."
101,"But political priorities couldn 't have been further away ."
102,"Both Google and the Indian Premier ( IPL ) will share revenues from sponsorships and advertising jointly ."
103,"Garcia-Lopez 1-2 * Federer He 's settling in on Centre now ."
104,"( AP ) A 107-year-old man who once turned down a job offer from Thomas Edison has been chosen to lead a parade at the Massachusetts prep school he graduated from 90 years ago ."
105,"She said it would be especially unfair to punish the 1.7 million Floridians who in the Democratic primary since the contest 's date was moved up by the Republican-controlled state Legislature and the state 's Republican governor ."
106,""" I think all sides reached a very happy compromise , and certainly Spike delivered a movie that was so true to the book , yet it generated the emotion that we felt strongly about to bring in our family audience , as well , "" said Dan Fellman head of distribution for Warner ."
107,"Unfortunately when humility is most needed , it is often most out of practice ."
108,"Evgeni Malkin scored in the third to extend points streak to 11 games ."
109,"Students attending public colleges have also faced steep cost increases , in part because state governments have become in providing support ."
110,"And this year , we 're looking to having another place at our Thanksgiving table with a son-in-law , "" he said ."
111,"Borrowers are warned that the market is not likely to pick up any time soon ."
112,"Curry scored 30 points , including 25 in the second half , as No. Davidson rallied to upset No. 2 Georgetown , 74-70 , on Sunday in a Midwest Region second-round game at the RBC Center ."
113,"BAGHDAD ( Reuters ) - The U.S. military said on Friday it had released nine Iranians held in Iraq , days after U.S. officials signaled a possible change in approach by noting developments in Iran 's involvement in Iraq ."
114,"Hardest hit by Hanna was the city of Gonaives , which was flooded with up to 16ft of water that has only now begun to ."
115,"The duty , or APD , is not imposed on cargo flights or private jets ignores the load factor and the aircraft type ."
116,"Making up the rest the 16 named by the Home Office are preachers Wadgy Abd El Hamied Mohamed Ghoneim , Abdullah Qadri Al Ahdal , Safwat Hijazi and Emir Siddique , Muslim activist Abdul Ali Musa ( previously Clarence Reams ) , murderer and Hizbollah terrorist Samir Al Quntar and Kashmiri terror group leader Nasr Javed ."
117,"You are here : Home / Top News / Reports / Ahmadinejad up against the wall ?"
118,"Discovery was slated to launch on its final mission on ."
119,"As a result this disposition , the operating results of Sun City are classified as discontinued operations for all reporting periods contained in this press release and accompanying financial statements ."
120,"He become director of SSEW in 1986 and then of the Soil Survey and Land Research Centre ( SSLRC ) , after the move to Cranfield , also made Professor of Land Resource Management ."
121,"The ceremony marked the 60th anniversary of the 12th Main Directorate , established by Josef Stalin in 1947 during the nuclear arms race the Soviet Union and the United States ."
122,"The committee could Copeland if he remains uncooperative ."
123,"' had an English lord here a few years ago , ' she recalls ."
124,"Andrews will help form a massive right side of the offensive line with his brother ."
125,"DETROIT ( AP ) - Legal experts said Tuesday that the heart of the perjury case against Mayor Kwame Kilpatrick--steamy text messages that to contradict his sworn denials of an affair with an aide--might be less open-and- shut than many believe ."
126,"Director of the university 's new advanced research computing division , Professor Martyn Guest described the technology and increasing power of machines as "" quite frightening . """
127,"11 , , vs. the Indians . ..."
128,"Ole Gunnar Solskjaer is the current reserve coach ; Brian McClair is the academy director ."
129,"Analysts revenue of $ 6.78 billion ."
130,"Aliyev , who is Austria , has maintained he 's innocent and says the accusations are part of a state-organized plot ."
131,"The Aquilla Airlines plane into a disused chalk pit near Chessell on 15 November , 1957 ."
132,"The GMB union says 19 % of all workers take advantage these benefits ."
133,"ESF has been installed US Hercules since the 1960s ."
134,"He also runs website www.michaelmoore.com."
135,"The United Nations says cholera has killed more than 500 people across the country since August of a lack of water treatment and broken sewage pipes ."
136,"Sure , I can understand how speculation can cause a short-term increase price ."
137,"The state 's civil , ports and firefighters agencies did not immediately return calls ."
138,"Michael Thomas Duffy , the city 's executive director of charter , said audits found no theft from the school ."
139,"Household and Orchard bank do the thing ."
140,"Confusion surrounds the precise nature of events surrounding the shooting , which led to the death of the of construction management from Galway / Mayo Institute of Technology ."
141,"In Vietnam despite our edge in technology the NVA and Vietcong were able to move troops and supplies at will througout Vietnam in battle our edge in technology was offset by NVA and Vietcong 's better training and better tactics ."
142,"The U.S. is urging "" restraint on sides "" and calling for direct talks to curtail the violence , White House spokeswoman Dana Perino said ."
143,"( Maybe because so readily do it for them . )"
144,""" Palm is up Microsoft , Google , RIM , Nokia and Apple for developers ."
145,"It showed footage of the rocket launch , saying that the Safir is about 22 metres ( 72 feet ) long , with a diameter of 1.25 metres ( a little over four feet ) and weighing more 26 tonnes ."
146,"So the "" stray arrow "" that slew him a hunting foray in the New Forest in 1100 is widely thought to have been more murder than mistake ."
147,"In Oslo , I met Lars Ole Orjaseter , the editor of a chemistry journal and the secretary of the Friends of Aquavit Society ."
148,"Despite being the largest mammal ever to inhabit Earth , endangered blue whale still holds mysteries for scientists ."
149,"Put the Orange in any other conference in the and Syracuse would be mentioned as a title contender ."
150,""" When you look into his eyes , you looking into the beauties and mysteries of the world , "" Abrams once said ."
151,"He was treated a Tampa hospital ."
152,"And then we were in front of 523 , the single-storey building that is mostly unchanged since Maradona 's ."
153,"A of more than 51,000 men published on Monday in the Journal of Clinical Oncology found men diagnosed with low-risk tumors who waited were still doing fine an average of eight years after diagnosis -- and some as many as 20 years later ."
154,"As the finance director of Premier 's grocery division , Mr Armitage looked after brands from Ambrosia creamed rice to Fray Bentos pies , taking in Lyons Tea along way ."
155,"I believe it 's all about the resemblance of cooked egg pasta and sauce to our own workings , and a folk memory of cannibalism ."
156,"Mr. McCartney and Mr. Copeland have at times depended on classically trained , similar to the way politicians rely on speechwriters to finesse their ideas into fluid prose ."
157,"The attorney general 's office said the alleged operated out of a private hospital where the suspects allegedly told parents their infants had died and then turned the babies over to buyers who registered them as their own ."
158,"But by next year , if President Rafael Correa gets his way , this base will be , and , with it , one of the most festering sources of controversy in Washington 's long war on drugs ."
159,"My friends , over the last few weeks some have claimed me to be , or seeking to induce panic , but I am not ."
160,"The plaintiff , known in the media as "" the 35-year-old , "" is suing the southern Swedish newspaper Sydsvenskan its coverage of his arrest , the Swedish news agency TT reports ."
161,"Alexis is going the reject-parents / I-am-free ! route to selfhood , venturing into behavior she just finished condemning , back she was still speaking in her parents ' voice ."
162,"But these days has other associations ."
163,"With an extremely grounded , non-showbiz family behind her it 's not difficult to see Fanning -- whose sister Elle , nipping right at Dakota 's heels , looks to be as talented -- having a lengthy and rewarding acting career that will , without a doubt , be well-earned ."
164,"The Nets had a 16-point lead with 5 minutes 54 seconds to go in first half , but they had to weather a Pacers comeback ."
165,"Do you want government to stop mail delivery ?"
166,"And even when they 're playing , say , Nevada Graham is worth four hours in front of the TV ."
167,"Unnamed Israeli defence officials the weapons shipment consisted of rockets and anti-tank weapons bound for Hezbollah , the Shiite Islamic organization in Lebanon ."
168,"CHICAGO - A Chicago man pleaded not guilty to charges that he allegedly conspired in the deadly 2008 terrorist attacks in the Indian city of Mumbai and to launch an armed assault on a Danish newspaper ."
169,"The council could choose to refer the report to the UN Security Council , which has the power to ask the International Court to open a war crimes prosecution ."
170,"So the presumption is that the worst is over , mostly because deceleration in the pace of job losses must mean things getting better ."
171,"The film , an adaptation of Jean Shepard 's memoir of a boy in the 1940s , was set in Indiana but largely filmed in Ohio ."
172,"The Republican-backed plan to condemn the Petraeus advertisement drew substantial Democratic backing in the House and Senate , while have been unable to splinter Republicans on Mr. Limbaugh ."
173,"The 6-foot , 5-inch ( 1.96-meter ) brothers were hard to miss in the front row at the Ninth Circuit Court of Appeals on Tuesday ."
174,"As their family grew , the Scotts decided to buy another in 2003 , but they didn 't consider leaving the neighborhood ."
175,"Last 's print and online article on tech solutions for older adults struck a chord with many readers , a number of whom wrote that the suggestions proved helpful in their quest to get their parents connected to the Internet ."
176,"Ed Miliband , the Energy and Climate Change Secretary , admitted there was still a "" gap between the politics and the science "" but suggested that the shortfall would eventually made up by making faster cuts in emissions between 2020 and 2050 ."
177,"The alliance is the first partnership formed to fulfill the economic development and environmental program goals of CIMC Green Jobs Initiative announced on May 12 , 2009 ."
178,"The International Commission for the Conservation of Atlantic Tunas , which also gathered at the meeting , is expected this to issue a master-plan for increasing world tuna stocks ."
179,"But if the SPD opens coalition talks with the Left Party the CDU will raise the spectre of a communist , hauling out the "" stinky red socks "" of past campaigns , as the SPD 's general secretary , Hubertus Heil , calls them ."
180,"They both rejected Fayed 's conspiracy ."
181,"23 ( UPI ) -- A 14-year-old boy in Poquoson , Va . , reportedly died after being pulled into a wood chipper during a cleanup effort ."
182,"Mr. Lamar and many other members of say that though they are struggling with what to do about the war , they do not expect a series of pending government reports to make their job much easier ."
183,"One of those leaders , Javed Hashmi , said Sunday that he was willing to in the Sept ."
184,"Under the modified Dutch Auction , MassHousing will consider offers to sell Bonds of each resolution , series and maturity in the order of lowest to highest prices specified by Bondholders and will , in its sole discretion , select a single price for each resolution , series and maturity to be accepted ( the "" Purchase "" ) . Bondholders who tender and do not withdraw their offers prior to the Early Tender Deadline will be eligible to receive a Premium Purchase Price equal to the Purchase Price plus five ( 5 ) dollars per $ 1000 of principal ."
185,"Part of the cost will be met by the RSPCA wardens on the Orme are also looking at moving some of the goats to other parts of the UK ."
186,"LISBON ( Reuters ) - Steady rain did not stop world number one Roger Federer from cruising into the quarter-finals of the Estoril Open a 6-3 6-2 win over Romania 's Victor Hanescu on Thursday ."
187,"He owns huge of land in central London and elsewhere ."
188,"Mehsud signed a peace deal with Pakistan 's army in September 2006 in which he promised to deny shelter to foreign al-Qaida fighters in exchange for an end to military operations in the region and compensation for tribesman killed the military ."
189,"A loser once , McCain his campaign just over a year ago as the presumptive Republican leader ."
190,"The top-of-the line model , Grand Touring , adds another $ 3,185 and includes heated seats , a power passenger seat , rain-sensing wipers , dual-zone automatic air-conditioning , automatic-on Xenon headlamps , memory in the power driver 's seat , rain-sensing wipers , heated auto-dimming exterior mirrors , a blind-spot monitoring system and a Bluetooth phone link ."
191,"Multi-trip annual holiday insurance from £ 38 and single trip travel insurance from £ 6. dragonfly. international senior exhibition sales executive - ... . £ 27000 - £ 33000 per annum. proud camden-1. camden , london. neg depending on experience. metropolitan housing partnership-1. spirita changes the lives of literally thousands o ... . £ 10000 - £ 14999 per annum + £ 6.55 per hour. foundation to support education for children and the ... performance under pressure ; masters degree or higher in education or management related field. good . dc. institute of international education theinstitute of international education ( iie ) is the world leader in ... experienced global higher education and professional ... . dc. education campuses is a leading for profit education ... higher education campuses an exciting and vibrant place to build a career. at kaplan higher education ... . co ."
192,"All of those communities have their own recreational facilities , including clubhouses , tennis courts pools ."
193,""" I had dinner with Mark the other night and , if he 's leaving , never mentioned it to me , "" said Boyle ."
194,"Filming wraps Dec ."
195,"General and administrative expenses on a consolidated basis increased 24 % to approximately $ 2.7 million ( vs. approximately $ 2.2 million ) due to higher employee costs , an increase in the for doubtful retail accounts primarily from one hotel that was damaged by Hurricane Paloma last year , and higher professional fees ."
196,"The fishing village crumbled into the sea in , leaving its residents homeless ."
197,"Can you name the architectural style of your or apartment building , or the building in which you work ?"
198,"In other early women 's singles action on Monday , eighth seed Victoria Azarenka of Belarus made the second round with a 6-1 6-1 victory over Romania 's Dulgheru ."
199,"The suspect is described as a black man in his early 30s , about 6ft ( 1.8m ) in height and of plump build ."
200,"The Oklahoma City-based energy company is also going to form a private MLP to a non-operating majority interest in its midstream natural gas assets ."
201,"Neelie Kroes , Europe 's competition commissioner , spoke of her "" serious concerns "" that the deal would reduce choice and lead higher prices ."
202,"Kubel followed with an upper homer to right field and , two batters later , Young hit a solo shot to make it 4-0 ."
203,"The operator read the names of ships several miles away ."
204,"In addition , he wrotes studies of G. K. Chesterton , Pierre Duhem , the French mathematician , physicist and historian of science , and Cardinal Newman , and he translated some important works , including the first English version of a study of Copernicus ( 1975 ) and Immanuel Kant Universal Natural History and Theory of the Heavens ( 1775 / 1981 ) ."
205,"His bravery and physical resilience were remarkable ."
206,"Perhaps deep mining like this would be better served remote-control robots taking the risks us humans shoulder too readily ."
207,"Angola and seminary officials believe are the only full-time , college-accredited programs for ministers in the nation 's prisons ."
208,"In honoring Zur Hausen , Nobel Assembly said he "" went against current dogma "" when he found that some kinds of human papilloma virus , or HPV , caused cervical cancer ."
209,"The New York Times reported there suicide bomb explosions ."
210,"In 2005 , relatives of 45 Chilean military recruits reported missing in a march during a severe Andes snowstorm accused army officers of the men ."
211,"Some GOP have not disclosed how they intend to vote , and political strategists predict a few more could defect ."
212,"The event held in memory of Jerseyman Kenny Mallett who died two years ago at the age of 19 ."
213,"In contrast , more than a third of 's vote came from people age 65 and older , far more than her top rivals ."
214,"My grandfather would do any kind of work without complaint and graciously accept whatever wages were offered because he felt as if the employer was doing him favor by giving him a way to support his family ."
215,""" There is no single segment of America 's economy that is more critical to the financial well-being of millions of Americans than the automotive industry , "" the said ."
216,"They appeared to have been used on a work site that is renovating and the local headquarters of the German central bank , or Bundesbank , in a western Berlin neighbourhood ."
217,"The engineering problem of determining when ADIRS data is reliable never has been perfectly ."
218,"So the is to get into a position where there is no guarantee , implicit or explicit ."
219,"Once you label a person or community as "" negative "" whatever no matter what the person or community does positive or positively , then dont expect such person or community to come forward to you with flowers in their hands-It is called labeling "" theory in Sociology ."
220,""" The Tuesday election results have a little angst , "" Baucus said ."
221,"Each "" time capsule "" filled , taped shut , dated and sent to a New Jersey storage facility ."
222,""" If we lose in this ideological war , the soul of our ethnic identity will annihilated , "" he said ."
223,"Cameras in grocery stores have a limited area to keep eye on ."
224,"He explained to BBC that , with its new approach , his team had discovered important patterns in the shape of the genome ."
225,"CLEVELAND ( AP ) - More remains were discovered Tuesday at the Cleveland home of a convicted rapist , raising to 10 the number of bodies have been found there , authorities said ."
226,"In May 2005 , the younger Follieri began lying to Burkle 's group , Yucaipa Companies , including telling them he needed a luxury New apartment to house visiting dignitaries , according to the prosecutors ' sentencing memo ."
227,"The only ?"
228,"The Lord Chief Justice , Lord Judge , who was sitting with two other judges in London , said a fine should have imposed instead ."
229,""" Only of her neck and jaw remained , "" Haythem told CNN ."
230,"Lib Dem frontbencher Danny Alexander said his party was winning votes in Mr Pickles ' own constituency ."
231,"Gethin Jenkins and Adam Jones will miss the British and Irish Lions 's final tour match against South ."
232,"I think of the northern European countries have a much simpler and effective plan ."
233,"Arias plans to talk separately with Zelaya , Micheletti , and the Organization of American in coming days ."
234,"The idea came from a meeting they had President Obama in May at the White House ."
235,"I thought we could maybe get something from game and a draw was well-deserved ."
236,"They started around the perimeter of the crash and the first victim about 30 feet in front of the train , on the tracks ."
237,"In Kangding , a town in southwestern Sichuan province historically part of Tibet and heavily populated by Tibetans , soldiers have massed at a base on the town 's outskirts while police cars cruise the streets ahead of the February 25 holiday ."
238,"Johnson said that state and local officials have considerable time to meet the new requirements--as much as 20 years for some have the most serious pollution problems ."
239,"The 26-year-old Czech Republic international was named and pictured in newspaper report and the midlands club have taken swift action ."
240,"Carlos Boozer scored 13 points and grabbed 10 rebounds the win ."
241,"It is remote -- but you can get the island 's airport in 20 minutes ."
242,"CHINA : Death the U. S. 6 ."
243,"Speaking on a phone that had been smuggled into the camp , civilian being held in Manik Farm , who did not want to be named , said two families had "" been taken away and not seen again after saying some wrong things "" to a reporter last month ."
244,"HONG KONG ( Reuters ) - Women have undergone hysterectomy , or removal of the womb , are at higher risk of urinary incontinence that needs to be corrected by surgery later on , a 30-year Swedish study has found ."
245,"Yesterday , Algeria praised Britain for showing "" the greatest resolve and responsibility "" by refusing to bargain or over a ransom , which it said would have served to finance "" subversive and destabilising activities . """
246,"Jones isn 't even a starter at Schalke ."
247,""" I don 't think is actually naive enough to hold elections under the emergency ."
248,"They also include advertising products knowing there insufficient stock to meet demand , falsely claiming that customers would get a better deal if they signed up immediately , and directly targeting children to say they would be disadvantaged without a certain product ."
249,"BBC security correspondent Frank Gardner said the plot could possibly have involved an explosive device , but so far the signs were that no had been built ."
250,"Terri Irwin , who plans to transform the park into a Disneyland-style tourist attraction , complete with a hotel and an African safari park , has repeatedly denied rumours of a rift with her father-in-law ."
251,"Tickets cost 8 to $ 10 for grass seating , and you can get an excellent seat close to home plate for $ 24 ."
252,"Two pupils at a secondary school have been diagnosed with swine flu and are recovering at home ."
253,"All restrictions on the M48 Severn Bridge were lifted on Friday evening , but it is not yet how long the M4 crossing will remain closed ."
254,"Ankara expects its greenhouse gas emissions to increase as per-capita income rises , though officials are quick to note that national emissions are already roughly 75 percent less than the United States and roughly half of what Denmark emits Turkey 's leading English-language daily Today 's Zaman reports ."
255,"On November 16 , 2007 , with the 100 standing at almost 6300 , a total of 77 companies announced that they had been into the market to purchase their own shares ."
256,"There is a of conundrums this week ."
257,"In January the temperatures are usually between 20 and 30 Celsius ."
258,"This week : Jon Pareles files a dispatch from the Bonnaroo music festival ; Ben Ratliff reviews "" 127 Rose Avenue "" by Williams Jr . ; and Kakande performs in our studio ."
259,"Those Democrats include Rep. Ike Skelton of Missouri whose district voted 64 percent for Bush ."
260,"But at the private view of the Salon du Dessin , which opened on Tuesday and closes on Monday , the buzz of excitement told you that the 39 galleries taking part in the event have pulled off the trick with their works on paper ranging from the Renaissance the 20th century ."
261,"I remember hearing the helicopter on Easter morning and my parents saying "" that must the president "" so me and my sisters ran down the street in our Pajamas to see him land and go in to the church ."
262,""" I doubt things would get any easier if someone else from the LDP succeeds him as prime minister , "" said Sadafumi Kawato professor of politics at Tohoku University ."
263,"He was flown to the capital Mexico City , after his arrest ."
264,"Only when September was half way through did rains and cooler temperatures set in ."
265,"Alistair Darling told The Sunday Telegraph that he is ready to pour billions of pounds into major public works in an attempt to fend the worst of the economic downturn ."
266,"The fourth suspect , 30 , is currently being held in custody Trinity Road police station in Bristol ."
267,"St. Peter 's ( 10-18 7-10 Metro Atlantic Athletic Conference ) never trailed , but Iona ( 12-17 , 7-10 ) kept the game close through the first half , trailing 23-20 at intermission ."
268,"The Great Chip Wars , as we 've come to know them , ended this week--courtesy of a marketing campaign from Advanced Micro Devices ."
269,"His wife buried him in Evergreen Cemetery ."
270,"The dollar climbed against the euro and the pound amid growing speculation that central bankers in Europe will start cutting interest rates to jump-start growth ."
271,"Taipei these days is both cosmopolitan mellow , thanks to three decades of prosperity that have benefited largely the middle class ."
272,"Democrats said little was discussed that could not have been disclosed in open session ."
273,"Lloyds Banking Group , also partially state-owned set to report its annual results on Friday , climbed 1.3 per cent to 54.2p."
274,"One shot behind , British pair Graeme Storm and Laird shared second place with Ireland 's Paul McGinley ."
